edad;raza dominante;emocion;genero;archivo;id
27;latino hispanic;sad;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-45.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;sad;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-46.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;sad;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-47.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-48.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-49.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
28;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-5.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-50.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-51.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-52.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-53.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-54.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-55.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-56.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-57.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-58.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-59.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-6.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-60.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-61.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;sad;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-62.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;sad;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-63.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-64.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-65.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-66.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-67.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-68.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-69.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-7.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-70.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-71.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-72.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-73.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-74.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-75.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-76.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-77.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-78.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-79.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-8.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-80.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-81.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-82.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-83.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
